text,severity,resolution,product
Backspace & Delete doesn't work on first or last character in a selection in contenteditable inline elements (such as spans) nested in another inline element,normal,FIXED,Core
Backspace doesn't work on last character in contenteditable inline elements (such as spans) nested in another inline element,normal,FIXED,Core
TI+JM: rendering glitch with WebGL demo translated from C++ to JS,normal,FIXED,Core
IonMonkey: Refactor IonSpewer to handle multiple functions.,normal,FIXED,Core
should be able to reset a resized textarea,normal,FIXED,Core
"Darwin/X11 - No certs, libnssckbi.dylib fails to load",normal,FIXED,Core
IonMonkey: build failure on linx,normal,FIXED,Core
[10.7] crash with two finger swipe,critical,FIXED,Core
"IonMonkey: Assertion failure: a.isGeneralReg(), at shared/CodeGenerator-shared-inl.h:51 (inside CodeGeneratorX64::visitDouble)",normal,FIXED,Core
IonMonkey: Make value numbering sparse,normal,FIXED,Core
IonMonkey: Implement function calls,normal,FIXED,Core
"IonMonkey: Add a ""COPY"" policy to LUse",normal,FIXED,Core
"Add ""mac-lion-theme"" system metric",normal,FIXED,Core
Remove --disable-necko-disk-cache,normal,FIXED,Core
Remove NECKO_OFFLINE_CACHE checks,normal,FIXED,Core
"Remove ""whether mmap() sees write()s""",normal,FIXED,Core
Add Maemo6 geolocation provider (Qt Mobility based),normal,FIXED,Core
Fix conversion from 'double' to 'PRInt32' build warning in gfx/src/nsRenderingContext.h(73),normal,FIXED,Core
Remove NS_COM completely.,normal,FIXED,Core
Intermittent ERROR TEST-UNEXPECTED-FAIL | layout/generic/test/test_bug632379.xul | Test timed out.,normal,FIXED,Core
Migrate to Google Location Service v2,normal,FIXED,Core
[queryCommandEnabled] check `GetIsSelectionEditable' results,normal,FIXED,Core
[jsdbg2] Crash when a scripted proxy handler throws Error.prototype,normal,FIXED,Core
Change JSFunction macros to methods,normal,FIXED,Core
No OOM check on trace when creating a null closure in JSOP_LAMBDA,normal,FIXED,Core
document.caretRangeFromPoint API,normal,FIXED,Core
Debug builds should always be compiled with frame pointers,normal,FIXED,Core
"[jsdbg2] Assertion failure: !fp->isEvalFrame(), at jsinterpinlines.h:276",critical,FIXED,Core
"Assertion failure: spoff == js_ReconstructStackDepth(cx_, fp_->script(), pc_), at vm/Stack.cpp:1012",critical,FIXED,Core
"Assertion failure: length < (uint32(1) << 23), at jshashtable.h:368",critical,FIXED,Core
InvokeArgsGuard constructor leaves CallArgsList members uninitialized,normal,FIXED,Core
test_delay_load.html incorrectly appends a video to a new window before it has begun loading,normal,FIXED,Core
error building WatcherService for SUTAgent,normal,FIXED,Core
Backout bug 335998 from Aurora/FF8,normal,FIXED,Core
Fix the message manager API/impl for multiple content processes,normal,FIXED,Core
Replace ContentParent::GetSingleton to allow for multiple content processes,normal,FIXED,Core
Upgrade WebGL conformance test suite to r15318,normal,FIXED,Core
GLXtest process should check for GLX >= 1.3 before calling glXCreatePixmap,normal,FIXED,Core
GLXtest process stays around as zombie until the data is used by GfxInfo,normal,FIXED,Core
IonMonkey: GVN constant folding folds a^a + 1 to 0,normal,FIXED,Core
Improve auto-discovering of Android toolchain directory,normal,FIXED,Core
Improve auto-discovering of Android platform directory,normal,FIXED,Core
Firefox 8.0a1 Crash [@ xul.dll@0x9cd449 ],normal,FIXED,Core
TI: Crash [@ js::gc::ChunkBitmap::isMarked],critical,FIXED,Core
IonMonkey: implement JSOP_NEG,normal,FIXED,Core
Flash plugin's use of TSM calls can disable keyboard input in FF (trunk and 1.8 branch),normal,FIXED,Core
WebGL JS broken after pushing 649202,normal,FIXED,Core
missed some code removal in bug 403524,normal,FIXED,Core
Null timestamp usage in telemetry code,normal,FIXED,Core
Race condition when measuring requestEnd,normal,FIXED,Core
crash [@ nsFtpState::Init] for oom from BeginWriting(),critical,FIXED,Core
Expose pci subsystem through GfxInfo,normal,FIXED,Core
Setting MOZ_OPTIMIZE_FLAGS in js/src/configure.in is not effective,normal,FIXED,Core
TiledTextureImage BeginUpdate/EndUpdate are broken,normal,FIXED,Core
Implement CSS3 text-overflow: <left> <right>,normal,FIXED,Core
Can't open new windows,major,FIXED,Core
Filter elements don't react to color-interpolation-filters attribute changes,normal,FIXED,Core
rm modules/plugin/,normal,FIXED,Core
misuse of NS_ENSURE_ARG_POINTER,normal,FIXED,Core
Rm the now empty db/Makefile.in to save traversing it during the build,normal,FIXED,Core
Remove unique_pointer from typelib code,normal,FIXED,Core
Remove nsIDOMDocumentCSS from the tree,normal,FIXED,Core
Implement DeviceMotion deviceOrientation for Qt port,normal,FIXED,Core
"""compartment mismatched"" when listening message event",normal,FIXED,Core
Splitting Gmail rich-text list with Enter misplaces the caret,major,FIXED,Core
Upgrade Mozilla to NSS 3.13,normal,FIXED,Core
Add notes output to -D,normal,FIXED,Core
Make use of the cached value for user agent in PluginModuleChild,normal,FIXED,Core
js_DumpStackFrame should walk saved frame chains,normal,FIXED,Core
Components.results class description is wrong,normal,FIXED,Core
Text disappears after scrolling,normal,FIXED,Core
win32 nsFilePicker does not clear out mFiles on showing picker,normal,FIXED,Core
"nsFilePicker.cpp (WIN32) Returned filenames like ""C:filename.ext"" are not canonicalized",normal,FIXED,Core
"TI: Assertion failure: newShape != initialShape, at methodjit/PolyIC.cpp:384",critical,FIXED,Core
"TI: Assertion failure: alloc && !alloc->assigned(reg), at methodjit/LoopState.cpp:515",critical,FIXED,Core
"TI: Assertion failure: offset < script->length, at ./jsanalyze.h:235",critical,FIXED,Core
WebGL code compilation causes memory corruption,normal,FIXED,Core
window.focus() doesn't work intermittently after multiple modal dialogs are opened quickly in succession,normal,FIXED,Core
"Widget Qt should send system notifications (display, taskswitcher, flight modes)",normal,FIXED,Core
Add identifying information to system compartments,normal,FIXED,Core
Undo nsPresArena workaround in bug 678422,normal,FIXED,Core
add or update script to run xpcshell tests on Android,normal,FIXED,Core
add make targets to run netwerk xpcshell tests on Android,normal,FIXED,Core
Border weirdness when table cell is display:inline,normal,FIXED,Core
IonMonkey: Assertion failure: !slot.isCopied() at MIRGraph.cpp:358 with LOCALINC,normal,FIXED,Core
"IonMonkey: Assertion failure: mode() == TYPED_REG && knownType() != JSVAL_TYPE_DOUBLE, at Snapshots.h:182 with LSRA",normal,FIXED,Core
nsFilePicker.h fails to compile on mingw,normal,FIXED,Core
TestDllInterceptor.cpp fails to compile on mingw,normal,FIXED,Core
Mingw build error: undefined reference to `WinMain@16' in nsinstall_win.c,normal,FIXED,Core
progress element display:block update issue,normal,FIXED,Core
html5 email field does not use trim function to remove whitespace,normal,FIXED,Core
Dehydra: Unhandled type_pack_expansion/decltype_type etc.,normal,FIXED,Core
Implement Indexed Database API,normal,FIXED,Core
sync cache map file after writing the header,normal,FIXED,Core
TI: big SunSpider regression with type inference enabled,normal,FIXED,Core
HAVE_STDCALL is unnecessary on Win64,normal,FIXED,Core
TI: Assertion failure: [infer failure] Missing type for this: <0x7f2806317298> at jsinfer.cpp:336,critical,FIXED,Core
"TI: Assertion failure: !fe->data.inRegister(), at methodjit/FrameState-inl.h:966",critical,FIXED,Core
"""Assertion failure: stackDepth >= nuses,""",critical,FIXED,Core
semicolon in URI path handled incorrectly,normal,FIXED,Core
Remove unused build variable,normal,FIXED,Core
Clean up IDL Directory Rules in rules.mk,normal,FIXED,Core
empty relations returned to atk,normal,FIXED,Core
Fix c++0x initializer list error found by clang,normal,FIXED,Core
Accessing mozIndexedDB in a chrome window throws,normal,FIXED,Core
Experiment with turning the UNREASONABLE_WORD_LENGTH limit for spell checker off in the nightlies,normal,FIXED,Core
HttpChannelChild::RecvAssociateApplicationCache needs to be buffered like other necko IPDL messages,normal,FIXED,Core
Possible JSScript double-free,normal,FIXED,Core
progress element in table flows out of column,normal,FIXED,Core
"Intermittent failure in test_replay_metadata.html | Should have received two ended events for 320x240.ogv - got 3, expected 2; followed by v.parentNode is null",normal,FIXED,Core
Duplicate urlbar flickers at bottom of awesomescreen when keyboard appears (Android + GL),normal,FIXED,Core
Build failure with --enable-dtrace on Solaris,normal,FIXED,Core
SVG/SMIL: Don't always force-recompose animations of CSS properties (Slow perf w/ many frozen animations of CSS properties),normal,FIXED,Core
Stop using BOGUS_DEFAULT_*_PREF_VALUE in prefapi.cpp and cleanup PRBool abuse,normal,FIXED,Core
Remove kHashEnumerateRemove and make nsHashtableEnumFunc return PRBool,normal,FIXED,Core
:target pseudo-class not updating when pressing back button,normal,FIXED,Core
Crash [@ nsSVGSwitchElement::FindActiveChild] after GC,critical,FIXED,Core
TrampolineCompiler::generateForceReturn should emit a call to ScriptDebugEpilogue,normal,FIXED,Core
Flash plugin crashes,critical,FIXED,Core
"Remove CHROMIUM_MOZILLA_BUILD ifdefs, since always defined and #ifndef codepaths broken anyway",normal,FIXED,Core
Signed-unsigned comparison in CharacterIterator::ClusterLength,normal,FIXED,Core
possible use of uninitialized values in nsFontFaceLoader::LoadTimerCallback,normal,FIXED,Core
"""ASSERTION: Window still registered with device motion"" and crash",critical,FIXED,Core
ABORT: CRT ASSERT C:\Program Files\Microsoft Visual Studio 8\VC\INCLUDE\vector(756) : Assertion failed: vector subscript out of range,critical,FIXED,Core
Possible NULL dereference in nsComponentManagerImpl::ContractIDToCID,normal,FIXED,Core
JM merge regressions,normal,FIXED,Core
IonMonkey: implement shifts,normal,FIXED,Core
IonMonkey: possible tableswitch improvements,normal,FIXED,Core
Unable to drop a file on an embedded SWF,major,FIXED,Core
Allow custom panels/windows to be used as drag/drop feedback images,normal,FIXED,Core
Fallback to bind all symbols when dynamic symbol lookup is not supported,normal,FIXED,Core
javascript engine doesnt build on powerpc (cacheflush support missing on this platform),normal,FIXED,Core
MacroAssemblerMIPS.h is included but missing,normal,FIXED,Core
gfx/2d fails to compile on mingw,normal,FIXED,Core
PolyIC.cpp fails to compile on mingw-w64,normal,FIXED,Core
"Crash [@ memmove | nsCacheMetaData::SetElement(char const*, char const*)]",critical,FIXED,Core
QFeedBack include is not needed for geolocation provider file,normal,FIXED,Core
remember spell check setting per site,normal,FIXED,Core
[contentEditable] indent and justify* fail on editable nodes that have only one child,normal,FIXED,Core
"Some border-image reftests have invalid HTML syntax, causing tests to be NOP",normal,FIXED,Core
"overriding ""@mozilla.org/security/certoverride;1"" causes a crash in the certManager.xul",major,FIXED,Core
firefox eats cpu and ram while displaying ftp directory,normal,FIXED,Core
Do not paint checkerboards if page is solid color,normal,FIXED,Core
Add GLX Debug mode,normal,FIXED,Core
svg/as-image failures with OpenGL layers on linux,normal,FIXED,Core
Fix c++0x initializer list error found by clang,normal,FIXED,Core
nanojit.h should probably include njcpudetect.h,minor,FIXED,Core
nanojit: make Register a non-numeric type on MIPS,normal,FIXED,Core
Fixes for nanojit on ARMv4T,normal,FIXED,Core
loadFrameScript has no unload counterpart to allow bootstrapped addons to properly clean up,normal,FIXED,Core
"With GL layers on X11/NVIDIA, selecting text erases the text",normal,FIXED,Core
Back Button do not work even if history entry is available. Document navigation do not work by select back/forward drop down.,normal,FIXED,Core
assertion failure in win debug in WebGL test drawingbuffer-static-canvas-test.html,normal,FIXED,Core
Send any existing site Cookies and/or HTTP Auth headers with CSP violation reports,normal,FIXED,Core
IonMonkey: some fixes and improvements for MMul,normal,FIXED,Core
Canvas getAsText crash [@ nsSJISProber::HandleData],critical,FIXED,Core
Fix c++0x initializer list error found by clang,normal,FIXED,Core
Kill nsIFrame::GetAdditionalChildListName,normal,FIXED,Core
don't rely on slots to hold event handlers,normal,FIXED,Core
TI: Slower than m-c on closure-compiled fasta benchmark,normal,FIXED,Core
Add formnovalidate attribute to test_button_attribute_reflection.html,normal,FIXED,Core
Investigate speeding up docshell/test/navigation/test_sessionhistory.html,normal,FIXED,Core
"about:memory - nsMappedAttributes::SizeOf - ""ASSERTION: mBufferSize and mAttrCount are expected to be the same""",normal,FIXED,Core
Make Qt port support No X11 build,normal,FIXED,Core
nsIFrame::IsFocusable incorrectly uses the absolute size of scrollbars to determine if a scrollable frame should be focusable,normal,FIXED,Core
TI: Perf regression on primes benchmark since bug 669969 landed,normal,FIXED,Core
Link jemalloc to mozutils instead of mozalloc on Android,normal,FIXED,Core
Get rid of all the mozconfig guesswork,normal,FIXED,Core
Get rid of old style jemalloc,normal,FIXED,Core
msvc*.dll missing when building with VC10,normal,FIXED,Core
NSS doesn't depend on jemalloc in new style jemalloc,normal,FIXED,Core
xpcom/configure ios build fixes,normal,FIXED,Core
fix JS compilation for Darwin/ARM,normal,FIXED,Core
"With GL Layers, scrolling some pages on Fennec causes black rectangles to replace content",normal,FIXED,Core
Sandboxes with the same URI string end up having different Principals,normal,FIXED,Core
onEnterFrame does not work with tracejit,normal,FIXED,Core
Implement Debugger.Frame.prototype.onStep,normal,FIXED,Core
[jsdbg2] Crash [@ js_GetMethod],critical,FIXED,Core
Implement temporal dimension portion of Media Fragments URI specification for video/audio,normal,FIXED,Core
Geolocation XPCShell test really slow on Windows 7 build slave,normal,FIXED,Core
IndexedDB: Prompts can crash when multiple windows are open,normal,FIXED,Core
Missing goto out in CompileUCFunctionForPrincipalsCommon,normal,FIXED,Core
Firefox 8.0a1 Crash [@ mozilla::dom::workers::WorkerPrivate::RescheduleTimeoutTimer(JSContext*) ],critical,FIXED,Core
--enable-application=standalone is no longer supported,minor,FIXED,Core
Outparamdel nsXMLHttpRequest::GetLoadGroup,normal,FIXED,Core
"Reusing an XHR2 object with responseType of ""arraybuffer"" does not work",normal,FIXED,Core
Move a couple of tests from content/html/content/test to content/html/content/test/forms,normal,FIXED,Core
Cleanup of gfxColor.h,normal,FIXED,Core
Remove nsPSPrinterList::Init,normal,FIXED,Core
"""ASSERTION: nsWindow::SetParent - reparenting a non-child window""",normal,FIXED,Core
IonMonkey: Implement MTruncateToInt32,normal,FIXED,Core
"Crash [@ gfxMixedFontFamily::ReplaceFontEntry(gfxFontEntry*, gfxFontEntry*) ]",critical,FIXED,Core
AndroidBridge uses wrong method for calling setClipboardText,normal,FIXED,Core
test_taskbar_jumplistitems.js leaks items,normal,FIXED,Core
framebuffer-object-attachment.html test fails because we don't allow zero-sized renderbuffers,normal,FIXED,Core
invalid-passed-params.html test fails because we don't check for illegal characters in strings,normal,FIXED,Core
Lower the boom on cross-compartment pointers,normal,FIXED,Core
"""ASSERTION: ImmAssociateContextEx failed to restore default IMC""",normal,FIXED,Core
Tag <pre> is ignored on Firefox 5/6 under Mac OS 10.6/10.7,normal,FIXED,Core
AppendPrintf truncates output to 31 ASCII characters,normal,FIXED,Core
Remove obsolete MOZ_CRT_CPU_ARCH in autoconfig.mk.in,normal,FIXED,Core
should use -Fo instead of -o on MASM,normal,FIXED,Core
Crash [@ nsLayoutUtils::GetFirstContinuationOrSpecialSibling] with input and mask,critical,FIXED,Core
GetDiskSpaceAvailable works only on nsILocalFile representing folders,normal,FIXED,Core
Create a test_form_attributes_reflection.html with novalidate check,normal,FIXED,Core
Cannot access App Tab iframe.document in tab from session restore after FF upgrade,normal,FIXED,Core
Shrink nsCSSCompressedDataBlock,normal,FIXED,Core
Optimize textframe handling of a single large textrun during a horizontal resize,normal,FIXED,Core
Support Vista-style ICO files,normal,FIXED,Core
build error without libpango installed in ft2fontgroup,normal,FIXED,Core
JSOPTION_PCCOUNT should use js::Interpret's interrupts to count opcodes,normal,FIXED,Core
Add basic support for .ico icon encoder,normal,FIXED,Core
Add basic support for .bmp encoder,normal,FIXED,Core
IndexedDB: unopened sqlite databases don't count towards the quota,normal,FIXED,Core
"""ASSERTION: Element without owner document"" with GC'd document",normal,FIXED,Core
Make EventListenerManager participate to the DOM Memory Reporter,normal,FIXED,Core
IonMonkey: Assertion failure: casepc > pc && casepc <= exitpc,normal,FIXED,Core
TI: Crash on Heap,critical,FIXED,Core
"""Firefox is already running, but is not responding"" window has no icon",trivial,FIXED,Core
Tests all HTMLFormElement attributes reflection,normal,FIXED,Core
crash [@ mozilla::net::WebSocketChannel::OnInputStreamReady],critical,FIXED,Core
Remove nsIXULPrototypeCache,normal,FIXED,Core
crash nsPNGEncoder::ConvertHostARGBRow,critical,FIXED,Core
Detect and reject broken gcc,normal,FIXED,Core
update() method of nsIGeolocationUpdate cannot be used with multiple tabs,normal,FIXED,Core
remove nsINode::ChildIterator,normal,FIXED,Core
"ASSERTION: Failed to make GL context current!: 'succeeded' GLContextProviderEGL.cpp, line 795",normal,FIXED,Core
Add 3d transform support to BasicLayers,normal,FIXED,Core
Improve gfx3DMatrix multiplication performance,normal,FIXED,Core
"""ASSERTION: nsWindow::EnableDragDrop() called after Destroy()""",normal,FIXED,Core
Add unit tests for xpidl.py,normal,FIXED,Core
pyxpidl doesn't properly resolve const names,normal,FIXED,Core
Remove support for Irix from our build system,normal,FIXED,Core
Misc build-system cleanups,normal,FIXED,Core
typelib.py fails to compile nsILDAPOperation.idl,normal,FIXED,Core
"""ASSERTION: EventListener with no context or scope?"" and crash",critical,FIXED,Core
libffi fails to build on some setups,normal,FIXED,Core
Leak when forcing layout during mutation event for table attribute,normal,FIXED,Core
Disable default gesture filters in Qt widget,normal,FIXED,Core
Add nsTreeColumn::mNext to CC,normal,FIXED,Core
Consolidate node CC code,normal,FIXED,Core
"""Invalid (negative) scale factor"" (nsSVGFilterInstance::UserSpaceToFilterSpace)",normal,FIXED,Core
remove nsIAccessible::relationsCount and getRelation(),normal,FIXED,Core
IPv6 broken in Firefox Aurora,normal,FIXED,Core
Investigate nsTArray's growth behavior.,normal,FIXED,Core
Long GC pause time during v8 benchmark,normal,FIXED,Core
High heap-unclassified (70%+) when viewing large changeset diffs on hg.m.o,normal,FIXED,Core
Assignment to a DebugOnly variable is automatically elided in non-debug builds.,trivial,FIXED,Core
[Win64] Crash [@ mozalloc_abort(char const* const) | NS_DebugBreak_P ],critical,FIXED,Core
"When GL Layers enabled, restarting Fennec causes black screen",normal,FIXED,Core
IonMonkey: JSOP_BITNOT incorrect in loop conditional in some cases,normal,FIXED,Core
IonMonkey: Snapshot captures phi of successor block,normal,FIXED,Core
"IonMonkey: Assertion failure: regs.sp == regs.fp()->base(), at jsinterp.cpp:2480 with overflowing JSOP_MUL bailout",normal,FIXED,Core
IonMonkey: Implement TestVAndBranch,normal,FIXED,Core
IonMonkey: Missing break in visitMathD,normal,FIXED,Core
"TI: Assertion failure: [infer failure] Missing type in object [0x7f06b7a04700] a: [0x7f06b7a04800], at jsinfer.cpp:341",critical,FIXED,Core
"TI: Assertion failure: !a->analysis->trackSlot(entrySlot(fe)), at methodjit/FrameState.cpp:801",critical,FIXED,Core
IonMonkey: infinite loop when using greedy,normal,FIXED,Core
TI: Crash with testcase on Windows 7 involving trap,critical,FIXED,Core
IonMonkey: Support iteration over register sets.,normal,FIXED,Core
IonMonkey: delayed compilation,normal,FIXED,Core
layout/reftests/border-radius/clipping-3.html fails on Android,normal,FIXED,Core
layout/reftests/image-element/element-paint-native-widget.html fails on Android,normal,FIXED,Core
IonMonkey: Implement MToInt32(MIRType_Double),normal,FIXED,Core
Youtube video does not start with flashblock,normal,FIXED,Core
Firefox fails to use fallback font assigned in css rule in Linux,normal,FIXED,Core
Seeking to end of file during loadedmetadata event breaks further playback,normal,FIXED,Core
"Completely re-do jsarena.{cpp,h}",normal,FIXED,Core
Dynamic changes to use elements only work too/from invalid states,normal,FIXED,Core
Hang on certain site,critical,FIXED,Core
Fix comment typo in nsIDOMHTMLSourceElement.idl,normal,FIXED,Core
Large stack traces can hang browser for a long time,normal,FIXED,Core
JS engine completely broken on ia64,critical,FIXED,Core
XML content sink doesn't split rel value properly before looking for dns-prefetch,normal,FIXED,Core
Make IM working for IPC plugins in remote browser,normal,FIXED,Core
argv past script argument should not be interpreted as options,normal,FIXED,Core
Assertion: Multiplication factors must be integers or 1/integer,normal,FIXED,Core
[OGL] Fix JSReftest2 Android failures,normal,FIXED,Core
IM+TI: Tag MDefinition nodes with type sets,normal,FIXED,Core
Implement memory reporters for layout,normal,FIXED,Core
Throttle setTimeout/Interval callbacks in content if callbacks are called too frequently in the background,normal,FIXED,Core
"Investigate ICO crash and create reftest, reference image, and fix",normal,FIXED,Core
ctypes.Int64(0x7fffffffffffffff) and ctypes.Int64(0x8000000000000000) does not throw type error on SPARC,normal,FIXED,Core
glxtest.cpp fails to compile with Solaris Studio,normal,FIXED,Core
Some icons missing first 4 pixels since recent changes,normal,FIXED,Core
makefiles: split of config/rules.mk into a hierarchy of makefiles,normal,FIXED,Core
nsPermissionManager remove AddRef once hack,normal,FIXED,Core
Misc misuses of PRBool caught by the compiler while attempting typedef bool PRBool,normal,FIXED,Core
potential null pointer dereference in js/jsd/jsd_scpt.c,normal,FIXED,Core
Remove a duplicate #ifdef/if pair in vm/Stack.cpp.,trivial,FIXED,Core
"nsPluginInstanceOwner.h should declare ""struct nsIntRect""",normal,FIXED,Core
Italic font is not drawn properly,normal,FIXED,Core
Remove JSFunction::U::Scripted::wrapper,normal,FIXED,Core
Try simplifying Parser::setFunctionKinds and removing funarg analysis,normal,FIXED,Core
"""Assertion failure: compartment mismatched,"" or ""Assertion failure: addr % Cell::CellSize == 0,"" or ""Assertion failure: Chunk::withinArenasRange(addr),""",critical,FIXED,Core
"""Assertion failure: sprop->methodValue() == prev, at ../jsscope.cpp""",critical,FIXED,Core
"JM: Variable assignment fails, gets assigned undefined",normal,FIXED,Core
Sprinkle some do_QueryObject fairy dust around the tree,normal,FIXED,Core
"cannot get classDescription of Components.ID, Components.Exception and Components.Constructor",normal,FIXED,Core
test_evalInSandbox.xul appears to be partly bogus,normal,FIXED,Core
Upgrade ANGLE to r739,normal,FIXED,Core
jemalloc can deadlock during IPC fork on Android,normal,FIXED,Core
Separate regexp JIT code and normal mjit code in about:memory,normal,FIXED,Core
OOM crash in BasicPlanarYCbCrImage::SetData,normal,FIXED,Core
Make MediaTestManager less batchy,normal,FIXED,Core
"""Assertion failure: caller->fun()->isHeavyweight(),""",critical,FIXED,Core
crash js::mjit::EnterMethodJIT,critical,FIXED,Core
Create a static nsGlobolWindow::Init method to do all one-shot initializations currently ins nsGlobalWindow ctor,normal,FIXED,Core
li.value attribute reflection doesn't follow the specs,normal,FIXED,Core
Fixups for MSVC > 8 after bug 678161,normal,FIXED,Core
LINK : fatal error LNK1266: error reading instrumentation file 'firefox.pgd'; File not found,normal,FIXED,Core
autoconf.mk is not rebuilt when autoconf.mk.in changes,normal,FIXED,Core
"Define XP_IOS in configure, shuffle some configure checks around",normal,FIXED,Core
use C99 isfinite() on OS X,normal,FIXED,Core
Cleanup wrap malloc and its use on Android,normal,FIXED,Core
Sort out glue linking situation on iOS,normal,FIXED,Core
Remove build/hcc and build/hcpp,normal,FIXED,Core
make -C browser/install on cross compiler is always failed,normal,FIXED,Core
XPIDL_COMPILE explicitly used in Makefile,normal,FIXED,Core
Firefox 9.0a1 Crash [@ je_free | mozilla::ipc::windows::DeferredSettingChangeMessage::~DeferredSettingChangeMessage() ],critical,FIXED,Core
Break out layout memory reporters on a per-shell basis,normal,FIXED,Core
Remove nsITreeImageListener,normal,FIXED,Core
Restore support for 1bpp RLE bitmaps,normal,FIXED,Core
Add 'layers.acceleration.draw-fps' pref to profile,normal,FIXED,Core
IonMonkey: Implement MTruncateToInt32,normal,FIXED,Core
IonMonkey skeleton for ARM,normal,FIXED,Core
uninitialized memory in gfx/2d/SourceSurfaceCG.cpp,normal,FIXED,Core
warning nsISupportsImpl.h: unused owner,normal,FIXED,Core
nsMathMLmactionFrame::MouseListener::HandleEvent may abort in debug mode,normal,FIXED,Core
Geolocation should avoid triggering a remote prompt if the testing pref is set,normal,FIXED,Core
crash [@ libc.so@0x14bd8],normal,FIXED,Core
Create some BMP reftests for OS/2 bitmaps,normal,FIXED,Core
Create some BMP reftests for bitmaps with negative heights,normal,FIXED,Core
Removing call_trace workaround (added for bug 592352) leaks,normal,FIXED,Core
cppcheck indicates resource leak in APKOpen.cpp,normal,FIXED,Core
Expose jsdbg2 Debugger object as an XPCOM component,normal,FIXED,Core
rm JS_LONE_INTERPRET,normal,FIXED,Core
content/html/content/test/test_bug618948.html sets onvad property instead of oninvalid,normal,FIXED,Core
Allow absolute pathnames in js console read(),normal,FIXED,Core
Use GL_EXT_unpack_subimage when available on GLES,normal,FIXED,Core
Build both VC9 and VC10 exception-wrapping code,normal,FIXED,Core
improve cycle collector logging information,normal,FIXED,Core
NS_NATIVE_WINDOW value used incorrectly in Accessible implementation,normal,FIXED,Core
Make JSScripts gc-things,normal,FIXED,Core
"""Assertion failure: *f.regs.pc == JSOP_CALL || *f.regs.pc == JSOP_NEW || *f.regs.pc == JSOP_EVAL || *f.regs.pc == JSOP_FUNCALL || *f.regs.pc == JSOP_FUNAPPLY,"" with trap",critical,FIXED,Core
warning: comparison between signed and unsigned integer expressions in XPT_ParseVersionString,normal,FIXED,Core
warning: signed and unsigned type in conditional expression in XPT_DoString,normal,FIXED,Core
Fix OGL FPS Counter,normal,FIXED,Core
[QAC generated] Transitions don't work anymore on 8.0a1 (2011-08-07),normal,FIXED,Core
memory leak in widget/src/android/AndroidBridge.cpp,normal,FIXED,Core
ASSERTION: Empty string? trying to parse HTML image with empty crossorigin attribute,normal,FIXED,Core
element.setAttribute trim leading and trailing whitespaces when the attribute is of type long or unsigned long and the value an valid integer,normal,FIXED,Core
crash [@ js::gc::MarkObject ],critical,FIXED,Core
jorendorff can't stop believin',major,FIXED,Core
Restrict DeviceMotion to the active document,major,FIXED,Core
"""ASSERTION: function object has parent of unknown class""",critical,FIXED,Core
Crash [@ nsFrame::DestroyFrom] with position: absolute; -moz-column-count: 2;,critical,FIXED,Core
"GCC 4.6 build warning: ""js/src/vm/Debugger.cpp:874:11: warning: variable ‘frame’ set but not used [-Wunused-but-set-variable]""",normal,FIXED,Core
Crash [@ nsINode::GetOwnerDoc],critical,FIXED,Core
Crash [@ nsDocAccessible::ProcessContentInserted],critical,FIXED,Core
intermittent failure in make check: Assertion failure: gnsb + 0 == (char*) thread->data.nativeStackBase || gnsb + 0x1000 == (char*) thread->data.nativeStackBase || ...,normal,FIXED,Core
Drop a link to Firefox from an external program not working same other browsers,normal,FIXED,Core
drag and drop convention,normal,FIXED,Core
move away from the page by file drop is possible in spite of modal file picker dialog,normal,FIXED,Core
Use ITaskbarList2::MarkFullscreenWindow for proper windows taskbar integration,normal,FIXED,Core
aria-autocomplete not supported on standard form text input controls,normal,FIXED,Core
Make TraceVis compile and run again.,trivial,FIXED,Core
TEST-UNEXPECTED-FAIL | WindowsDllInterceptor | Failed to add hook,normal,FIXED,Core
"Intermittent test_webgl_conformance_test_suite.html | Test failed, ""gl.getExtension(""OES_texture_float"").myProperty should be 2 (of type number). Was undefined (of type undefined)."" (URL: conformance/oes-texture-float.html)",normal,FIXED,Core
DOMWindow printfs are broken,major,FIXED,Core
Don't even bother trying to unpackComponents if the APK hasn't changed,normal,FIXED,Core
HookSetWindowLongPtr is called several times,normal,FIXED,Core
[win] Tp crashes with inifinite recursion in mozilla::plugins::PluginInstanceChild::SetWindowLongAHook,critical,FIXED,Core
texImage2DBadArgs.html test failures,minor,FIXED,Core
object-deletion-behaviour.html test failures,normal,FIXED,Core
Some fails in testing WebGL implementations with correctly implement drawingbufferWidth/Height,normal,FIXED,Core
buffer-offscreen-test.html fails because the canvas falls outside the visible area,normal,FIXED,Core
Using JSGCTraceKind in the public API,normal,FIXED,Core
Remove build support for standalone necko and standalone xslt transformiix,normal,FIXED,Core
Lexical scoping bug in Firefox 6,normal,FIXED,Core
cairo-int.h uses lround in C90 programs,normal,FIXED,Core
"GCC 4.6 build warning: ""jstracer.cpp:17174:20: warning: variable 'v' set but not used [-Wunused-but-set-variable]""",normal,FIXED,Core
modules/libjar/zipwriter - compiler warnings on mac,normal,FIXED,Core
SVG SMIL : Animation skips 30th and 58th frame,major,FIXED,Core
"""ABORT: Update current interval recursion depth exceeded threshold"" with <svg:animate>",critical,FIXED,Core
"""ABORT: Shouldn't have current interval in startup or postactive states""",normal,FIXED,Core
